dataset,geo_level,file_id,checksum,rules_fingerprint,verdict,sheet,checked_at
mapbiomas_fire,,376,b4e1d14588ba4cd96b1ac7cc718d4e13,5a60,fail,,2026-08-24
mapbiomas_fire,,377,c98d4ee8d7b5a6eb2aa9384384ff63ac,5a60,fail,,2026-08-24
mapbiomas_fire,,378,34b27d3af64c24966220a97e02672e60,5a60,fail,,2026-08-24
mapbiomas_fire,,379,22dc21f6f1ab39d1ece582ab0033e3b8,5a60,fail,,2026-08-24
mapbiomas_fire,,380,b1b1b5abff6eac471e61d96a63ff08a7,5a60,fail,,2026-08-24
mapbiomas_fire,,381,be7e4070893d122dace9963da1c85644,5a60,fail,,2026-08-24
mapbiomas_fire,,382,10df4ce0b2773fa88731dd31aa38b2e8,5a60,fail,,2026-08-24
mapbiomas_fire,,383,074e4a8ac6b7f836b4123db5a2905abe,5a60,fail,,2026-08-24
mapbiomas_fire,,384,e530c2c2e4179fc0eb37428f6ce3dbc5,5a60,fail,,2026-08-24
mapbiomas_fire,,385,16c7b1dbf18bd35dc15cb836700e4058,5a60,fail,,2026-08-24
mapbiomas_fire,,386,e4717882f5f554d51f2cf2308ff9aa09,5a60,fail,,2026-08-24
mapbiomas_fire,,387,36f3cdfcaaed54b6a59c68f44f743e5a,5a60,fail,,2026-08-24
mapbiomas_fire,,388,621b4ca65d418d97ee6602a67b73466a,5a60,fail,,2026-08-24
mapbiomas_fire,,389,4864f25c5e6049e2f7e2e9e98d077e0a,5a60,fail,,2026-08-24
mapbiomas_fire,,390,86d6161eb3886063cc31a7829e90d65b,5a60,fail,,2026-08-24
mapbiomas_fire,,391,b885dafd192fdfabf5360fed72ecc7c8,5a60,fail,,2026-08-24
mapbiomas_fire,,392,77ce253db271d17759734b89dbac0b01,5a60,fail,,2026-08-24
mapbiomas_fire,,393,fec2beae52c0697e50410fc127dd4349,5a60,fail,,2026-08-24
mapbiomas_fire,,394,9f6d16e27719409bed84dd1a2443fc4a,5a60,fail,,2026-08-24
mapbiomas_fire,,395,8aefffd4c42e7b021a86791d50abde15,5a60,fail,,2026-08-24
mapbiomas_fire,,396,8b0bc4a98f1a793ae083c0370a9e0f8b,5a60,fail,,2026-08-24
mapbiomas_fire,,397,e20bef1cb8d8c7e064c096bd7ada3943,5a60,fail,,2026-08-24
mapbiomas_fire,,398,5e8e1cde4291b736575f1dd9e1070e54,5a60,fail,,2026-08-24
mapbiomas_fire,,399,1723b3563ecbea793d27d9e1e0d80eca,5a60,fail,,2026-08-24
mapbiomas_fire,,400,d7f36565c7fb8b8148b9f9e0f7df8974,5a60,fail,,2026-08-24
mapbiomas_fire,,401,3752536b71eedb38a024c87b47f235e5,5a60,fail,,2026-08-24
mapbiomas_fire,,402,208c2b4010654e8ba063eaefef09b5ea,5a60,fail,,2026-08-24
mapbiomas_fire,,403,d0b36625078a9415ae0f99d7c33ecb44,5a60,fail,,2026-08-24
mapbiomas_fire,,404,920dac63d20ac85211644baac8ad9764,5a60,fail,,2026-08-24
mapbiomas_fire,,405,d4ac5fa590b5c7129927d669b69660d8,5a60,fail,,2026-08-24
mapbiomas_fire,,406,4a4663b5b425cd9b9389dd53388b880b,5a60,fail,,2026-08-24
mapbiomas_fire,,407,7034e78d1e6cc150ee6e273e66432283,5a60,fail,,2026-08-24
mapbiomas_fire,,408,9984db295e7cd8e5a1313a16db11f257,5a60,fail,,2026-08-24
mapbiomas_fire,,409,62056d5dffd2162519a3386df6f0507c,5a60,fail,,2026-08-24
mapbiomas_fire,,410,0719387f9096e1a87236397dbb6c0edc,5a60,fail,,2026-08-24
mapbiomas_fire,,411,457e31eb10a12a7bedcde7716f77d468,5a60,fail,,2026-08-24
mapbiomas_fire,,412,1a203a3fbca47d61851df83eeadf505d,5a60,fail,,2026-08-24
mapbiomas_fire,,413,1d57a1195e8120590618d70931df9c4b,5a60,fail,,2026-08-24
mapbiomas_fire,,414,c379250d114413b66d827c04aab7f636,5a60,fail,,2026-08-24
mapbiomas_fire,,415,2857402acdb9455422f79dcaf3604d5f,5a60,fail,,2026-08-24
mapbiomas_fire,,416,f08d809f16c86715df746fd4d867eef4,5a60,fail,,2026-08-24
mapbiomas_fire,,417,eceb0995b069fc8936504f5e339263c3,5a60,fail,,2026-08-24
mapbiomas_fire,,418,4231cdedd86e6ef1bea50099ef7c5df9,5a60,fail,,2026-08-24
mapbiomas_fire,,419,5020fb7920701ac50f35c7eeafa15535,5a60,fail,,2026-08-24
mapbiomas_fire,,420,01b07db7d573746e2ffe4b12027e8ca9,5a60,fail,,2026-08-24
mapbiomas_fire,,421,1c0bf090017d48b61542a225a6264f53,5a60,fail,,2026-08-24
mapbiomas_fire,,422,c75f0f9da66870754ac2fad6f386f60a,5a60,fail,,2026-08-24
mapbiomas_fire,,423,9bad6dc3f1c870d8ec58c23df3c3af56,5a60,fail,,2026-08-24
mapbiomas_fire,,424,7982e1b0b629743edf8a9a5dd2507663,5a60,fail,,2026-08-24
mapbiomas_fire,,425,51f80f09ba7014045886a1222e7fb130,5a60,fail,,2026-08-24
mapbiomas_fire,,529,98b0e55e9f21c4411e3e252fd978ba7a,5a60,fail,,2026-08-24
mapbiomas_mining,indigenous_land,177,6c67e0dca2c97d6ce55e795e2af3fd74,2361,fail,,2026-08-24
mapbiomas_mining,indigenous_land,179,e999cf1d7c74445a162f9c615128a119,2361,fail,,2026-08-24
mapbiomas_mining,indigenous_land,228,825c8053c09f605f6e93b933823a551b,2361,pass,IL,2026-08-24
mapbiomas_mining,indigenous_land,264,90547d52878121200e48b1d0f3be8177,2361,fail,,2026-08-24
mapbiomas_mining,indigenous_land,270,132c26b0a4c2767e1ffa5e956c5c5872,2361,fail,,2026-08-24
mapbiomas_mining,indigenous_land,281,701caed0c9084397a7a226df8337bddb,2361,fail,,2026-08-24
