survey,dataset,geo_level,year,sidra_code,url,docs_url,available_time,available_geo,archive_file,sheet,layer_name,version,resolver
epe,industrial_energy_consumption,state,,,,,,,,SETOR INDUSTRIAL POR UF,,,
epe,industrial_energy_consumption,subsystem,,,,,,,,SETOR INDUSTRIAL POR RG,,,
epe,national_energy_balance,,,,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-819/topico-716/Anexo%20IX%20-%20Balan%C3%A7os%20Consolidados%20(em%20tep)%201970%20a%202023.xlsx,,2003-2023,,,,,,epe
ibama,,,,,,,,municipality,,,,,
ibama,collected_fines,,,,https://dadosabertos.ibama.gov.br/dados/SICAFI/$state$/Arrecadacao/arrecadacaobenstutelados.csv,,,,,,,,
ibama,distributed_fines,,,,https://dadosabertos.ibama.gov.br/dados/SICAFI/$state$/Quantidade/multasDistribuidasBensTutelados.csv,,,,,,,,
ibama,embargoed_areas,,,,https://pamgia.ibama.gov.br/geoservicos/arquivos/adm_embargo_ibama_a.shp.zip,,,,,,,,
iema,iema,,,,https://drive.google.com/uc?export=download&id=10JMRtzu3k95vl8cQmHkVMQ9nJovvIeNl,,2018,municipality,,,,,
imazon,imazon_shp,,,,https://docs.google.com/uc?export=download&id=1JHc2J_U8VXHVuWVsi8wVBnNzZ37y1ehv,,2020,municipality,,,,,
internal,geo_municipalities,,,,https://raw.githubusercontent.com/datazoompuc/datazoom.amazonia/master/data-raw/geo_municipalities.rds,,2020,municipality,,,,,
ips,,,,,https://docs.google.com/uc?export=download&id=1ABcLZFraSd6kELHW-pZgpy7ITzs1JagN&format=xlsx,,"2014, 2018, 2021, 2023",,,,,,
ips,all,,,,,,,,,,,,
ips,communic,,,,,,,,,,,,
ips,deforest,,,,,,,,,,,,
ips,educ,,,,,,,,,,,,
ips,life_quality,,,,,,,,,,,,
ips,mortality,,,,,,,,,,,,
ips,sanit_habit,,,,,,,,,,,,
ips,violence,,,,,,,,,,,,
mapbiomas,,,,,,,1985-2023,,,,,,
mapbiomas,mapbiomas_cover,,,,https://storage.googleapis.com/mapbiomas-public/initiatives/brasil/collection_9/statistics/mapbiomas_brazil_col_coverage_biome_state_municipality.xlsx,,,"municipality, indigenous_land",,COVERAGE_9,,9,mapbiomas
mapbiomas,mapbiomas_cover,indigenous_land,,,https://brasil.mapbiomas.org/wp-content/uploads/sites/4/2024/08/MAPBIOMAS_BRAZIL-COL.9-INDIGENOUS_LANDS-1.xlsx,,,,,,,,
mapbiomas,mapbiomas_deforestation_regeneration,,,,https://storage.googleapis.com/mapbiomas-public/initiatives/brasil/collection_9/downloads/mapbiomas_brasil_col9_deforestation_and_secondary_vegetation_state_municipality.xlsx,,,municipality,,DEF_SECVEG,,9,mapbiomas
mapbiomas,mapbiomas_fire,,,,https://storage.googleapis.com/mapbiomas-public/brasil/fire/collection_3_stats/MB-Fogo-3-Biome-State.xlsx,,,state,,a_ANNUAL,,3,
mapbiomas,mapbiomas_irrigation,,,,https://mapbiomas-br-site.s3.amazonaws.com/downloads/Estatisticas%20/Colecao_7_Irrigacao_Biomes_UF.xlsx,,2000-2019,"state, biome",,,,7,
mapbiomas,mapbiomas_irrigation,biome,,,,,,,,BIOME,,,
mapbiomas,mapbiomas_irrigation,state,,,,,,,,UF,,,
mapbiomas,mapbiomas_mining,,,,https://brasil.mapbiomas.org/wp-content/uploads/sites/4/2023/09/TABELA-MINERACAO-MAPBIOMAS-COL8.0.xlsx,,1985-2022,"municipality, indigenous_land",,,,8,mapbiomas
mapbiomas,mapbiomas_mining,indigenous_land,,,,,,,,IL,,,
mapbiomas,mapbiomas_mining,municipality,,,,,,,,CITY_STATE_BIOME,,,
mapbiomas,mapbiomas_transition,,,,https://brasil.mapbiomas.org/estatisticas/,,,"municipality, biome",,TRANSITION_9,,9,mapbiomas
mapbiomas,mapbiomas_transition,biome,,,https://brasil.mapbiomas.org/wp-content/uploads/sites/4/2024/08/MAPBIOMAS_BRAZIL-COL.9-BIOMES.xlsx,,,,,,,,
mapbiomas,mapbiomas_transition,municipality,,,https://storage.googleapis.com/mapbiomas-public/initiatives/brasil/collection_9/downloads/mapbiomas_brasil_col9_state_municipality.xlsx,,,,,,,,
mapbiomas,mapbiomas_water,,,,https://mapbiomas-br-site.s3.amazonaws.com/Estat%C3%ADsticas/Estatisticas_Superficie%C3%81gua_Col2_SITE.xlsx,,1985-2022,"state, municipality, biome",,,,2,
mapbiomas,mapbiomas_water,biome,,,,,,,,biomes_annual,,,
mapbiomas,mapbiomas_water,municipality,,,,,,,,mun_annual,,,
mapbiomas,mapbiomas_water,state,,,,,,,,states_annual,,,
pam,,,,,,https://sidra.ibge.gov.br/pesquisa/pam/tabelas,1974-2023,"country, state, municipality",,,,,
pam,acai,,,1613/c82/45981,,,2015-2023,,,,,,
pam,alfafa,,,1612/c81/40471,,,1974-1987,,,,,,
pam,all_crops,,,5457/all/all,,,,,,,,,
pam,annatto_seeds,,,1613/c82/2747,,,1981-2023,,,,,,
pam,apple,,,1613/c82/2735,,,,,,,,,
pam,avocado,,,1613/c82/2717,,,,,,,,,
pam,banana,,,1613/c82/2720,,,,,,,,,
pam,barley,,,1612/c81/2699,,,,,,,,,
pam,beans,,,1002/all/all,,,2003-2023,,,,,,
pam,beans_temporary,,,1612/c81/2702,,,,,,,,,
pam,black_pepper,,,1613/c82/2743,,,,,,,,,
