Nr,Lat,Long,Latgms,Longms,Municipio,CodIbge,Estado,AreaKm2,Desmatado2015,Incremento20142015,Floresta2015,Nuvem2015,NaoObservado2015,NaoFloresta2015,Hidrografia2015,Soma 
 276,-12.75266,-47.78602,S 12 45 9.58,O 47 47 9.67,Paranã,1716208,TO,11321,0.0,0.0,9.5,0.0,0.0,11311.5,0.0,100
 277,-10.21749,-48.86516,S 10 13 2.96,O 48 51 54.58,Paraíso do Tocantins,1716109,TO,1274,0.0,0.0,0.2,0.0,0.0,1273.8,0.0,100
 278,-3.12356,-47.40354,S 3 7 24.82,O 47 24 12.74,Paragominas,1505502,PA,19465,8733.7,24.2,9587.8,1100.4,0.0,7.1,36.0,100
 279,-13.04147,-48.33067,S 13 2 29.29,O 48 19 50.41,Palmeirópolis,1715754,TO,1710,0.0,0.0,5.0,0.0,0.0,1705.0,0.0,100
 280,-6.58530,-47.65715,S 6 35 7.08,O 47 39 25.74,Palmeiras do Tocantins,1713809,TO,751,58.5,0.1,22.2,0.0,0.0,669.1,1.2,100
 281,-7.84587,-48.17500,S 7 50 45.13,O 48 10 30.00,Palmeirante,1715705,TO,2654,103.7,0.0,13.1,0.0,0.0,2523.5,13.7,100
 282,-2.68960,-44.98717,S 2 41 22.56,O 44 59 13.81,Palmeirândia,2107605,MA,532,440.5,0.0,5.0,6.2,0.0,58.0,22.3,100
 283,-10.18871,-48.11134,S 10 11 19.36,O 48 6 40.82,Palmas,1721000,TO,2227,0.0,0.0,0,0.0,0.0,2205.0,22.6,100
 284,-5.90983,-48.35503,S 5 54 35.39,O 48 21 18.11,Palestina do Pará,1505494,PA,985,823.0,1.2,136.1,0.0,0.0,0.3,25.6,100
 285,-2.50434,-44.11948,S 2 30 15.62,O 44 7 10.13,Paço do Lumiar,2107506,MA,134,78.3,1.0,46.0,1.1,0.0,0.0,8.6,99
 286,4.16686,-60.88685,N 4 10 0.70,O 60 53 12.66,Pacaraima,1400456,RR,8083,76.2,0.1,1547.4,180.2,0.0,6264.1,15.1,100
 287,-3.69969,-50.60258,S 3 41 58.88,O 50 36 9.29,Pacajá,1505486,PA,11851,5467.6,165.8,5762.2,621.2,0.0,0.0,0.0,99
 288,-10.50782,-62.01015,S 10 30 28.15,O 62 0 36.54,Ouro Preto do Oeste,1100155,RO,1990,1744.5,0.3,228.4,0.0,0.0,15.9,1.2,100
 289,-7.48419,-51.51165,S 7 29 3.08,O 51 30 41.94,Ourilândia do Norte,1505437,PA,14357,1691.9,5.2,9462.9,29.2,0.0,3169.4,3.6,100
 290,-1.48763,-47.12672,S 1 29 15.47,O 47 7 36.19,Ourém,1505403,PA,565,498.5,0.3,62.8,2.0,0.0,1.4,0.3,100
 291,0.26778,-57.52249,N 0 16 4.01,O 57 31 20.96,Oriximiná,1505304,PA,107782,1528.0,13.2,99553.0,1295.8,0.0,3636.6,1768.6,100
 292,-10.65995,-48.87706,S 10 39 35.82,O 48 52 37.42,Oliveira de Fátima,1715507,TO,207,0.0,0.0,0,0.0,0.0,207.3,0.0,100
 293,-2.98224,-45.01131,S 2 58 56.06,O 45 0 40.72,Olinda Nova do Maranhão,2107456,MA,200,184.3,0.0,-0.0,0.1,0.0,1.4,14.2,100
 294,-4.12269,-45.12432,S 4 7 21.68,O 45 7 27.55,Olho d'Água das Cunhãs,2107407,MA,704,704.6,0.0,0,0.0,0.0,0.0,0.0,100
 295,3.18951,-51.77858,N 3 11 22.24,O 51 46 42.89,Oiapoque,1600501,AP,22642,212.1,1.3,10233.2,8169.6,0.0,3899.9,127.2,100
 296,-2.38582,-49.92558,S 2 23 8.95,O 49 55 32.09,Oeiras do Pará,1505205,PA,3863,769.4,2.0,1605.6,816.3,0.0,377.7,294.0,100
 297,0.07317,-55.75937,N 0 4 23.41,O 55 45 33.73,Óbidos,1505106,PA,28031,1891.6,13.1,19465.1,727.3,0.0,4595.5,1351.5,99
 298,-15.06182,-53.19360,S 15 3 42.55,O 53 11 36.96,Novo São Joaquim,5106281,MT,5022,1.1,0.0,118.4,0.0,0.0,4900.3,2.2,100
 299,-12.32775,-50.97263,S 12 19 39.90,O 50 58 21.47,Novo Santo Antônio,5106315,MT,4375,228.4,6.3,457.6,0.0,0.0,3593.3,95.7,100
 300,-4.52485,-50.19409,S 4 31 29.46,O 50 11 38.72,Novo Repartimento,1505064,PA,15432,7607.4,73.8,4684.9,1970.6,0.0,1.0,1168.1,100
